PropertyName	Address1	Address2	City	State	Zip	Latitude	Longitude	Phone	Website
L&N Federal Credit Union (Smyrna)	9201 Smyrna Parkway		 Lousiville	KY	40229	38.1145870000	-85.6437280000	(502) 368-5858	http://www.lnfcu.com
L&N Federal Credit Union (Brownsboro)	9731 Von Allmen Court		 Louisville	KY	40241	38.3118920000	-85.5720290000	(502) 368-5858	http://www.lnfcu.com
L&N Federal Credit Union (Jeffersonville)	1450 Veterans Parkway		 Jeffersonville	IN	47130	38.3283546000	-85.7363379000	(502) 368-5858	http://www.lnfcu.com
Park Community Federal Credit Union (Fern Valley)	6101 Fern Valley Road		 Louisville	KY	40228	38.1577140000	-85.6477040000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (Highlands)	2443 Bardstown Road		 Louisville	KY	40205	38.2237398000	-85.6869573000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (West Market)	515 W Market Street		 Louisville	KY	40202	38.2558960000	-85.7591060000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (Goldsmith)	2221 Goldsmith Lane		 Louisville	KY	40218	38.2099850000	-85.6671940000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (Blankenbaker)	2501 Blankenbaker Parkway		 Louisville	KY	40299	38.2098997000	-85.5379647000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (Dixie)	7521 Dixie Highway		 Louisville	KY	40258	38.1415590000	-85.8395479000	(502) 968-3681	https://www.parkcommunity.com/
Park Community Federal Credit Union (Hillview)	134 Dr Arla Way		 Louisville	KY	40229	38.0701839000	-85.6721731000	(502) 968-3681	https://www.parkcommunity.com/
