TAX_MAP,plat,lot,unit,CLASS,SHORT_DESC,FORMATED_ADDRESS,ZIP_POSTAL
104-0050-0000,104,50,0,79,School,191 Webster Ave,02909
058-0035-0000,58,35,0,14,CI Vacant Land,1174 Eddy St,NA
069-0103-0000,69,103,0,2,2 -5 Family,144 Camden Ave,02908
045-0546-0000,45,546,0,1,Single Family,38 Glenham St,02905
056-0318-0000,56,318,0,71,Charitable,44 New York Ave,02905
084-0157-0000,84,157,0,2,2 -5 Family,60-62 Berlin St,02901
065-0946-0000,65,946,0,5,Commercial I,944 Chalkstone Ave,NA
062-0294-0000,62,294,0,13,Residential Vacant Land,83 Bowdoin St,02901
052-0037-0000,52,37,0,5,Commercial I,60 Reservoir Ave,02907
129-0230-0000,129,230,0,6,Commercial II,1307 Chalkstone Ave,02909
005-0136-0000,5,136,0,14,CI Vacant Land,70 Graham St,02906
015-0456-0000,15,456,0,78,Municipal,88 Wayland Ave,02906
031-0164-0000,31,164,0,1,Single Family,80 Superior St,02907
064-0444-0000,64,444,0,1,Single Family,36 Hendrick St,02909
006-0124-0000,6,124,0,2,2 -5 Family,15 Poplar St,02906
108-0472-0000,108,472,0,14,CI Vacant Land,29 Dunford St,02909
068-0565-8LAW,68,565,8LAW,12,Miscellaneous,41 Goddard St,02908
012-0454-0000,12,454,0,6,Commercial II,85 Fones Aly,02906
061-0338-0000,61,338,0,2,2 -5 Family,158 Rutherglen Ave,02905
070-0140-0000,70,140,0,2,2 -5 Family,334 Admiral St,02904
081-0324-0000,81,324,0,1,Single Family,32 Annie St,02908
043-0440-0000,43,440,0,13,Residential Vacant Land,57 Greenwich St,02907
079-0683-A200,79,683,A200,23,Residential Condo,200 Sunbury St,02908
077-0767-0000,77,767,0,14,CI Vacant Land,400 Smithfield Ave,NA
028-0740-0000,28,740,0,2,2 -5 Family,76 Vinton St,02909
042-0184-0000,42,184,0,2,2 -5 Family,211 Waldo St,02907
048-0943-0000,48,943,0,1,Single Family,48 Gladstone St,02905
033-0672-011A,33,672,011A,23,Residential Condo,84 Tell St,NA
048-0207-0000,48,207,0,2,2 -5 Family,315 Swan St,02905
019-0115-0000,19,115,0,5,Commercial I,65 Park Row West,02903
039-0624-0000,39,624,0,1,Single Family,111 Elton St,02906
005-0084-0000,5,84,0,13,Residential Vacant Land,34 Locust St,02906
012-0216-0000,12,216,0,71,Charitable,42 College St,02903
048-0876-8LAW,48,876,8LAW,12,Miscellaneous,20 Van Buren St,02905
031-0534-0000,31,534,0,14,CI Vacant Land,97 Hanover St,NA
077-0015-0000,77,15,0,2,2 -5 Family,141 Ledge St,02904
044-0259-0000,44,259,0,5,Commercial I,21 Peace St,02907
067-0268-0000,67,268,0,2,2 -5 Family,234 Jewett St,02908
081-0072-0000,81,72,0,1,Single Family,715 River Ave,02908
067-0076-0000,67,76,0,13,Residential Vacant Land,319 Orms St,02908
113-0004-0000,113,4,0,80,State,5 Ruth St,02909
053-0183-0000,53,183,0,6,Commercial II,1125 Broad St,02905
049-0093-0000,49,93,0,13,Residential Vacant Land,32 Greenwich St,02907
033-0199-0000,33,199,0,13,Residential Vacant Land,52 Penn St,02909
072-0004-0000,72,4,0,2,2 -5 Family,66 Hall St,02904
045-0232-0000,45,232,0,2,2 -5 Family,10 Taylor St,02905
082-0268-0000,82,268,0,71,Charitable,11 Higgins Ave,02908
020-0193-001B,20,193,001B,24,Commercial Condo,128 Dorrance St,02903
014-0575-0000,14,575,0,2,2 -5 Family,234 Gano St,02906
093-0123-0000,93,123,0,6,Commercial II,785 Hope St,02906
023-0355-0000,23,355,0,75,Hospital,70 Pearl St,02901
066-0431-0000,66,431,0,14,CI Vacant Land,22 Wolcott St,02901
058-0222-0000,58,222,0,6,Commercial II,245 Chapman St,02905
073-0574-0000,73,574,0,14,CI Vacant Land,1191 North Main,02906
110-0201-0000,110,201,0,2,2 -5 Family,75 Murray St,02909
017-0502-0000,17,502,0,2,2 -5 Family,1 Trenton St,02906
028-0428-0000,28,428,0,4,Combination,297 Atwells Ave,02909
037-0179-0000,37,179,0,2,2 -5 Family,45 Messer St,02907
091-0147-0000,91,147,0,79,School,260 Highland Ave,02906
059-0710-0000,59,710,0,13,Residential Vacant Land,94 Fisk St,02905
067-0399-0000,67,399,0,80,State,80 Calverley St,02901
061-0106-0000,61,106,0,2,2 -5 Family,41 Rounds Ave,02905
046-0556-0000,46,556,0,2,2 -5 Family,36 Eudora St,02905
096-0282-0000,96,282,0,78,Municipal,460 Manton Ave,02909
045-0770-0L02,45,770,0L02,24,Commercial Condo,194 Blackstone St,02905
016-0251-0000,16,251,0,2,2 -5 Family,42 John St,02906
021-0304-0000,21,304,0,14,CI Vacant Land,44 South St,02905
005-0515-L01B,5,515,L01B,24,Commercial Condo,851 North Main,02906
043-0900-0000,43,900,0,2,2 -5 Family,146 Linwood Ave,02907
020-0107-0005,20,107,5,24,Commercial Condo,50 Pine St,02903
008-0449-LL01,8,449,LL01,14,CI Vacant Land,649 North Main,02903
048-1177-0000,48,1177,0,71,Charitable,151 Saratoga St,02905
087-0122-0000,87,122,0,1,Single Family,180 Indiana Ave,02905
064-0919-0000,64,919,0,13,Residential Vacant Land,76 Yale Ave,02909
049-0143-0000,49,143,0,13,Residential Vacant Land,94 Stanwood St,02907
060-0184-0000,60,184,0,78,Municipal,110 Sackett St,02907
087-0750-0000,87,750,0,6,Commercial II,930 Narragansett Blvd,02905
023-0419-0000,23,419,0,75,Hospital,177 Dudley St,02901
029-0137-0000,29,137,0,6,Commercial II,869 Westminster St,02907
076-0258-0000,76,258,0,13,Residential Vacant Land,109 Hawkins St,02904
031-0368-0000,31,368,0,7,Industrial,355 Dexter St,02907
079-0203-0000,79,203,0,13,Residential Vacant Land,81 Crandall St,02904
064-0911-0000,64,911,0,1,Single Family,20 Rangeley Ave,02909
039-0302-0000,39,302,0,1,Single Family,400 Angell St,02906
065-0302-0000,65,302,0,2,2 -5 Family,52 Bergen St,02909
105-0464-0000,105,464,0,3,Apartment Building,91 Hartford Ave,02909
006-0035-0000,6,35,0,13,Residential Vacant Land,135 Larch St,02906
060-0033-0000,60,33,0,6,Commercial II,172 Longfellow St,02907
024-0667-0000,24,667,0,79,School,35 Richmond St,02901
068-0319-0000,68,319,0,13,Residential Vacant Land,16 Wayne St,02908
032-0319-0000,32,319,0,2,2 -5 Family,146 Bridgham St,02907
101-0793-0000,101,793,0,6,Commercial II,845 Allens Ave,02905
058-0298-0000,58,298,0,2,2 -5 Family,185 Baker St,02905
037-0499-0000,37,499,0,2,2 -5 Family,93 Ellery St,02907
069-0509-8LAW,69,509,8LAW,12,Miscellaneous,9 Inkerman St,02908
042-0195-0000,42,195,0,2,2 -5 Family,191 Waldo St,02907
071-0152-0000,71,152,0,1,Single Family,42 Gillen St,02904
020-0035-0000,20,35,0,74,Federal,25 Kennedy Plz,02903
075-0108-0000,75,108,0,2,2 -5 Family,56 Nashua St,02906
039-0112-0000,39,112,0,2,2 -5 Family,42 Slater Ave,02906
044-0002-0000,44,2,0,3,Apartment Building,45 Mawney St,02907
059-0393-0000,59,393,0,1,Single Family,44 Carr St,02905
023-0880-0000,23,880,0,71,Charitable,255 Lockwood St,NA
048-0739-0000,48,739,0,72,Church,166 Gordon Ave,02905
063-0091-0000,63,91,0,2,2 -5 Family,37 Steuben St,02909
018-0211-0000,18,211,0,4,Combination,1 Armstrong Ave,02906
064-0040-0000,64,40,0,1,Single Family,29 Dover St,02909
014-0579-0004,14,579,4,24,Commercial Condo,293 Governor St,NA
032-0094-0000,32,94,0,2,2 -5 Family,129 Courtland St,02909
080-0044-0000,80,44,0,2,2 -5 Family,1 Devereaux,02909
070-0628-0000,70,628,0,13,Residential Vacant Land,359 Douglas Ave,02904
067-0249-0000,67,249,0,2,2 -5 Family,382 Orms St,02908
069-0228-0000,69,228,0,14,CI Vacant Land,15 Danforth St,02901
009-0493-0000,9,493,0,72,Church,360 Hope St,02906
085-0364-0000,85,364,0,1,Single Family,30 Naples Ave,02908
023-0287-0000,23,287,0,1,Single Family,52 Maple St,02905
034-0245-0000,34,245,0,13,Residential Vacant Land,65 Leander St,02901
109-0330-0000,109,330,0,4,Combination,248 Pocasset Ave,02909
087-0154-0000,87,154,0,2,2 -5 Family,215 Ohio Ave,02905
010-0692-0000,10,692,0,1,Single Family,116 Congdon St,02906
043-0387-0000,43,387,0,14,CI Vacant Land,830 Potters Ave,02907
070-0405-0000,70,405,0,2,2 -5 Family,23 Donelson St,02904
062-0531-8LAW,62,531,8LAW,12,Miscellaneous,67 Julian St REAR,02909
054-0160-0000,54,160,0,6,Commercial II,42 Blundell St,02905
060-0114-0000,60,114,0,71,Charitable,700 Elmwood Ave,02909
059-0839-0000,59,839,0,1,Single Family,177 Verndale Ave,02905
043-0124-0000,43,124,0,13,Residential Vacant Land,53 Plymouth St,02907
053-0106-0000,53,106,0,2,2 -5 Family,141 Colfax St,02905
035-0490-0000,35,490,0,2,2 -5 Family,36 Bainbridge Ave,02909
063-0252-0000,63,252,0,2,2 -5 Family,67 Joslin St,02909
078-0241-0000,78,241,0,13,Residential Vacant Land,12 Andy,02904
062-0056-0000,62,56,0,3,Apartment Building,840 Atwells Ave,02909
058-0722-0000,58,722,0,14,CI Vacant Land,225 Carolina Ave,02905
073-0054-0000,73,54,0,1,Single Family,159 Fifth St,02906
014-0126-0000,14,126,0,4,Combination,159 Governor St,02906
030-0338-0000,30,338,0,14,CI Vacant Land,50 Warren St,02907
058-0791-0000,58,791,0,14,CI Vacant Land,220 Toronto Ave,02905
028-0745-0000,28,745,0,14,CI Vacant Land,7 Mcavoy St,02909
025-0464-0000,25,464,0,14,CI Vacant Land,322 Washington St,NA
013-0011-0000,13,11,0,2,2 -5 Family,173 Lloyd Ave,02906
043-0396-0000,43,396,0,71,Charitable,786 Potters Ave,02907
043-1005-0000,43,1005,0,2,2 -5 Family,63 Benedict St,02907
046-0264-0000,46,264,0,2,2 -5 Family,235 Rhodes St,02905
048-1136-8LAW,48,1136,8LAW,12,Miscellaneous,30 Ocean St,02905
112-0306-0000,112,306,0,4,Combination,8 Jewell St,02909
079-0302-0000,79,302,0,13,Residential Vacant Land,40 General St,02904
047-0804-0000,47,804,0,14,CI Vacant Land,232 Allens Ave,02905
023-0539-0000,23,539,0,71,Charitable,109 Somerset St,02905
054-0153-0000,54,153,0,7,Industrial,25 Hylestead St,02905
029-0324-0000,29,324,0,3,Apartment Building,8 Somerset St,02905
084-0422-0000,84,422,0,14,CI Vacant Land,37 Linton St,02909
063-0455-0000,63,455,0,2,2 -5 Family,178 Manton Ave,02909
018-0188-0000,18,188,0,72,Church,93 Alves Way,02903
024-0517-0000,24,517,0,14,CI Vacant Land,133 Friendship St,02903
049-0376-8LAW,49,376,8LAW,12,Miscellaneous,566 Potters Ave,02907
071-0097-0000,71,97,0,13,Residential Vacant Land,9 Monticello St,02904
009-0190-0000,9,190,0,2,2 -5 Family,42 Pratt St,02906
047-0713-0000,47,713,0,1,Single Family,261 Swan St,02905
017-0125-0000,17,125,0,1,Single Family,65 Hope St,02906
049-0536-0000,49,536,0,1,Single Family,12 Hamilton St,02907
067-0046-0000,67,46,0,71,Charitable,386 Smith St,02908
070-0663-0000,70,663,0,14,CI Vacant Land,2 March St,02901
062-0602-0002,62,602,2,71,Charitable,59 Putnam St Unit 2,02909
077-0136-0000,77,136,0,2,2 -5 Family,55 Amory St,02904
048-0765-0000,48,765,0,1,Single Family,76 Baxter St,02905
063-0159-0000,63,159,0,2,2 -5 Family,34 Amsterdam St,02909
017-0481-0000,17,481,0,3,Apartment Building,598 Wickenden St,02906
084-0427-0000,84,427,0,2,2 -5 Family,71 Glover St,02909
069-0016-0000,69,16,0,1,Single Family,24 Dome St,02908
073-0247-0000,73,247,0,1,Single Family,38 Glendale Ave,02906
024-0224-0000,24,224,0,14,CI Vacant Land,362 Pine St,02905
101-0305-0000,101,305,0,14,CI Vacant Land,837 Allens Ave,02905
014-0112-0000,14,112,0,2,2 -5 Family,59 Pitman St,02906
033-0341-0000,33,341,0,4,Combination,24 De Soto St,02909
071-0357-0000,71,357,0,1,Single Family,102 Commodore St,02904
002-0611-0000,2,611,0,71,Charitable,189 Charles St,NA
104-0076-0000,104,76,0,4,Combination,58 Sterling Ave,02909
029-0468-0000,29,468,0,2,2 -5 Family,487 Washington St,02909
052-0438-0000,52,438,0,1,Single Family,177 Melrose St,02907
010-0466-0001,10,466,1,23,Residential Condo,370 Thayer St,02906
016-0122-000F,16,122,000F,23,Residential Condo,42 Transit St,02906
002-0333-0000,2,333,0,5,Commercial I,57 Printery St,02906
007-0117-0000,7,117,0,71,Charitable,399 Morris Ave,02906
057-0259-0000,57,259,0,1,Single Family,256 O Connor St,02905
096-0049-0000,96,49,0,7,Industrial,564 Manton Ave,02909
014-0437-0000,14,437,0,3,Apartment Building,109 Medway St,02906
023-0044-0000,23,44,0,80,State,23 Somerset St,02905
062-0004-0000,62,4,0,14,CI Vacant Land,8 Barstow St,02909
065-0789-0000,65,789,0,2,2 -5 Family,141 Academy Ave,02909
070-0124-0000,70,124,0,3,Apartment Building,35 Veto St,02904
016-0257-0000,16,257,0,6,Commercial II,181 Brook St,02906
006-0551-0000,6,551,0,13,Residential Vacant Land,112 Woodbine St,02906
039-0179-0000,39,179,0,79,School,19 Slater Ave,02906
070-0208-0000,70,208,0,13,Residential Vacant Land,22 Forsyth St,02901
049-0045-0000,49,45,0,1,Single Family,27 Greenwich St,02907
023-0967-0000,23,967,0,71,Charitable,164 Pearl St,02905
080-0503-0000,80,503,0,13,Residential Vacant Land,2 Bassi Ln,02909
043-1035-8LAW,43,1035,8LAW,12,Miscellaneous,126-130 Linwood Ave,02907
044-0290-0000,44,290,0,14,CI Vacant Land,114 Wesleyan Ave,02907
028-0037-0000,28,37,0,2,2 -5 Family,216 Broadway St,02909
030-0334-0000,30,334,0,14,CI Vacant Land,42 Warren St,02907
072-0129-0000,72,129,0,1,Single Family,25 Horton St,02904
019-0102-000D,19,102,000D,24,Commercial Condo,100 Exchange St,02903
010-0228-0000,10,228,0,13,Residential Vacant Land,4 Cushing St,02906
021-0402-0000,21,402,0,6,Commercial II,34 Parsonage St,02905
109-0105-0000,109,105,0,78,Municipal,41 Moorefield St,02909
020-0192-0000,20,192,0,6,Commercial II,122 Dorrance St,02903
049-0561-0000,49,561,0,13,Residential Vacant Land,53 Redwing St,02907
064-0349-0000,64,349,0,2,2 -5 Family,144 Hendrick St,02909
054-0292-0000,54,292,0,6,Commercial II,155 Thurbers Ave,02905
063-0275-0000,63,275,0,2,2 -5 Family,42 Hyat St,02909
079-0667-0000,79,667,0,4,Combination,42 General St,02904
063-0194-0000,63,194,0,2,2 -5 Family,13 Joslin St,02909
087-0002-0000,87,2,0,4,Combination,1310 Eddy St,02905
028-0546-0000,28,546,0,5,Commercial I,114 Spruce St,02909
008-0041-0000,8,41,0,13,Residential Vacant Land,104 Camp St,02906
065-0031-0000,65,31,0,13,Residential Vacant Land,34 Newark St,02909
100-0027-0000,100,27,0,14,CI Vacant Land,369 Charles St,02904
062-0273-0000,62,273,0,78,Municipal,123 Amherst St,02901
078-0411-0000,78,411,0,7,Industrial,65 Wild St,02904
051-0011-0000,51,11,0,4,Combination,5 Algonquin St,02905
064-0438-0000,64,438,0,1,Single Family,58 Hendrick St,02909
006-0459-0000,6,459,0,2,2 -5 Family,93 Dana St,02906
084-0007-0000,84,7,0,2,2 -5 Family,15 Grosvenor Ave,02908
047-0534-0000,47,534,0,14,CI Vacant Land,51 Seymour St,02905
077-0005-0000,77,5,0,1,Single Family,191 Ledge St,02904
016-0658-0000,16,658,0,80,State,275 South Water St,02903
034-0117-0000,34,117,0,13,Residential Vacant Land,46 Perrin,02909
025-0465-0000,25,465,0,83,44-3-9 Stb,78 Fountain St,02903
114-0468-0000,114,468,0,7,Industrial,200 King Philip St,02909
045-0109-0L01,45,109,0L01,24,Commercial Condo,235 Plain St,02905
070-0016-0000,70,16,0,6,Commercial II,353 Admiral St,02904
061-0177-0000,61,177,0,1,Single Family,228 Narragansett Ave,02907
043-0932-0000,43,932,0,5,Commercial I,778 Cranston St,02907
045-0797-0000,45,797,0,83,44-3-9 Stb,220 Blackstone St REAR,02905
023-0712-0000,23,712,0,13,Residential Vacant Land,77 Beacon Ave,02905
058-0461-0000,58,461,0,14,CI Vacant Land,35 Virginia Ave,02905
063-0215-0000,63,215,0,13,Residential Vacant Land,126 Florence St,02909
070-0267-0000,70,267,0,1,Single Family,79 Mowry St,02904
020-0164-0000,20,164,0,14,CI Vacant Land,252 Westminster St,02903
031-0187-0000,31,187,0,13,Residential Vacant Land,40 Diamond St,02907
059-0371-0000,59,371,0,13,Residential Vacant Land,130 Carr St,02905
059-0794-0000,59,794,0,2,2 -5 Family,28 Verndale Ave,02905
035-0496-0000,35,496,0,1,Single Family,26 Bainbridge Ave,02909
030-0267-0000,30,267,0,14,CI Vacant Land,45 Elmwood Ave,02907
064-0043-0000,64,43,0,4,Combination,182 Academy Ave,02909
006-0211-0000,6,211,0,13,Residential Vacant Land,43 Forest St,02906
020-0191-0000,20,191,0,83,44-3-9 Stb,88 Dorrance St,02903
066-0269-0000,66,269,0,2,2 -5 Family,89 Ayrault St,02908
020-0120-LL01,20,120,LL01,14,CI Vacant Land,66 Weybosset St,02903
101-0402-0000,101,402,0,7,Industrial,141 Georgia Ave,02905
017-0555-0000,17,555,0,13,Residential Vacant Land,54 Gano St,02906
070-0259-0000,70,259,0,13,Residential Vacant Land,489 Douglas Ave,02904
035-0160-0000,35,160,0,2,2 -5 Family,56 Oak St,02907
035-0491-0000,35,491,0,2,2 -5 Family,44 Bainbridge Ave,02909
017-0163-0000,17,163,0,13,Residential Vacant Land,12 Dove St,02906
033-0316-0000,33,316,0,2,2 -5 Family,103 Almy St,02909
045-0208-0000,45,208,0,3,Apartment Building,25 Wesleyan Ave,02905
026-0335-0000,26,335,0,5,Commercial I,178 Atwells Ave,02909
005-0024-0000,5,24,0,4,Combination,895 North Main,02906
023-0577-0000,23,577,0,13,Residential Vacant Land,90 Beacon Ave,02905
039-0236-0000,39,236,0,72,Church,68 Orchard Ave,02906
043-0652-0000,43,652,0,13,Residential Vacant Land,113 Benedict St,02907
027-0265-0000,27,265,0,4,Combination,415 Harris Ave,02909
060-0204-0000,60,204,0,6,Commercial II,801 Elmwood Ave,02907
064-0796-0000,64,796,0,2,2 -5 Family,20 Dover St,02909
015-0145-0000,15,145,0,6,Commercial II,144 Medway St,02906
101-0676-0000,101,676,0,14,CI Vacant Land,16 Baker St,02905
017-0393-0000,17,393,0,2,2 -5 Family,42 East Transit,02906
035-0416-0000,35,416,0,2,2 -5 Family,44 Sycamore St,02907
096-0050-0000,96,50,0,4,Combination,600 Manton Ave,02909
014-0366-0006,14,366,6,23,Residential Condo,355 Angell St,02906
032-0596-0000,32,596,0,7,Industrial,1153 Westminster St,02909
057-0346-0000,57,346,0,5,Commercial I,152 Pavilion Ave,02905
017-0340-0000,17,340,0,2,2 -5 Family,305 Williams St,02906
071-0011-0000,71,11,0,4,Combination,590 Charles St,02904
053-0224-0000,53,224,0,2,2 -5 Family,107 Detroit Ave,02907
054-0077-0000,54,77,0,13,Residential Vacant Land,111 Gallup St,02905
046-0107-0000,46,107,0,6,Commercial II,690 Eddy St,02905
066-0053-0000,66,53,0,1,Single Family,81 River Ave,02909
071-0433-0000,71,433,0,13,Residential Vacant Land,3 Flora St,02904
071-0064-0000,71,64,0,2,2 -5 Family,34 Russo St,02904
064-0776-0000,64,776,0,2,2 -5 Family,206 Carleton St,02909
031-0319-0000,31,319,0,2,2 -5 Family,160 Bellevue Ave,02907
064-0486-0000,64,486,0,1,Single Family,32 Armington Ave,02909
034-0161-0000,34,161,0,13,Residential Vacant Land,5 Baltimore St,02909
018-0008-0033,18,8,33,23,Residential Condo,30 Bridge St,02906
101-0778-0000,101,778,0,6,Commercial II,780 Allens Ave,02905
060-0120-0000,60,120,0,2,2 -5 Family,197 Longfellow St,02907
073-0463-0000,73,463,0,2,2 -5 Family,112 Colonial Rd,02906
029-0545-0000,29,545,0,5,Commercial I,381 West Fountain St,02901
018-0008-0225,18,8,225,23,Residential Condo,555 South Water St,02906
024-0056-0000,24,56,0,2,2 -5 Family,378 Pine St,02905
087-0399-0000,87,399,0,2,2 -5 Family,193 Washington Ave,02905
028-0604-0000,28,604,0,13,Residential Vacant Land,19 Dale St,02909
028-1049-0000,28,1049,0,5,Commercial I,252 Atwells Ave,02909
114-0475-0000,114,475,0,14,CI Vacant Land,8 Kinfield St,02909
052-0092-0000,52,92,0,14,CI Vacant Land,16 Gwinett Ct,02907
028-0139-0000,28,139,0,13,Residential Vacant Land,23 Marcello St,02909
008-0057-8LAW,8,57,8LAW,12,Miscellaneous,108 Doyle Ave,02906
023-0937-8LAW,23,937,8LAW,12,Miscellaneous,102 Somerset St,02905
021-0338-0000,21,338,0,14,CI Vacant Land,94 Elm St,02905
081-0442-0000,81,442,0,1,Single Family,201 Wyndham Ave,02908
032-0437-0000,32,437,0,6,Commercial II,1179 Westminster St,02907
028-0949-0000,28,949,0,2,2 -5 Family,67 Kenyon St,02909
119-0119-0000,119,119,0,5,Commercial I,456 Douglas Ave,02904
021-0076-002F,21,76,002F,24,Commercial Condo,28 Bassett St,NA
037-0809-0000,37,809,0,7,Industrial,175R Union Ave,02909
016-0067-0000,16,67,0,14,CI Vacant Land,74 Well,02906
063-0396-0000,63,396,0,2,2 -5 Family,232 Manton Ave,02909
064-0508-0000,64,508,0,79,School,145 Beaufort St,02908
074-0394-0000,74,394,0,6,Commercial II,290 Branch Ave,02904
087-0927-0000,87,927,0,2,2 -5 Family,100 Washington Ave,02905
083-0020-0000,83,20,0,4,Combination,996 Smith St,02908
033-0711-0000,33,711,0,5,Commercial I,269 Valley St,02909
029-0492-0000,29,492,0,79,School,70 Fricker St,02901
063-0490-0000,63,490,0,2,2 -5 Family,336 Manton Ave,02909
046-0618-0000,46,618,0,14,CI Vacant Land,8 Temple Ct,02905
117-0418-0000,117,418,0,83,44-3-9 Stb,867 Chalkstone Ave,02908
035-0055-0000,35,55,0,7,Industrial,75 Dike St,02909
065-0367-0000,65,367,0,1,Single Family,52 Andem St,02909
017-0366-0000,17,366,0,2,2 -5 Family,365 Williams St,02906
115-0005-0000,115,5,0,3,Apartment Building,9 Westwood Manor Dr,02909
049-0429-0000,49,429,0,13,Residential Vacant Land,115 Congress Ave,02907
024-0094-0000,24,94,0,71,Charitable,140 Summer St,02905
056-0069-0000,56,69,0,7,Industrial,30 Shipyard St,02905
023-0634-0000,23,634,0,13,Residential Vacant Land,21 Frank St,02905
071-0460-0000,71,460,0,78,Municipal,485 Charles St,02904
091-0213-0000,91,213,0,75,Hospital,76 Seventh St,02906
007-0008-0000,7,8,0,79,School,425 Elmgrove Ave,02906
098-0431-0000,98,431,0,83,44-3-9 Stb,725R Branch Ave,02904
013-0127-0000,13,127,0,4,Combination,100 Benevolent St,02906
065-0290-0000,65,290,0,2,2 -5 Family,14 Bergen St,NA
059-0125-0000,59,125,0,1,Single Family,34 Marion Ave N,02905
052-0406-0000,52,406,0,2,2 -5 Family,114 Sumter St,02907
035-0356-0000,35,356,0,78,Municipal,25 Bough St,02901
021-0336-0000,21,336,0,75,Hospital,154 Point St,02905
007-0355-0000,7,355,0,78,Municipal,140R Sessions St,02906
072-0522-0000,72,522,0,1,Single Family,96 Flora St,02904
042-0125-0000,42,125,0,2,2 -5 Family,92 Linwood Ave,02907
052-0111-0000,52,111,0,4,Combination,602 Elmwood Ave,02907
009-0350-0000,9,350,0,13,Residential Vacant Land,41 Carrington Ave,02906
029-0065-0000,29,65,0,4,Combination,68 Battey St,02909
077-0442-0000,77,442,0,13,Residential Vacant Land,109 Sedan St,NA
009-0561-0000,9,561,0,1,Single Family,35 Pratt St,02906
017-0132-0000,17,132,0,4,Combination,418 Wickenden St,02906
030-0560-0000,30,560,0,2,2 -5 Family,48 Arch St,02907
047-0083-0000,47,83,0,2,2 -5 Family,208 Sherburne St,02905
099-0197-0000,99,197,0,3,Apartment Building,76 Hawkins St,02904
023-0053-8LAW,23,53,8LAW,12,Miscellaneous,471 Pine St,02905
087-0415-0000,87,415,0,1,Single Family,272 Washington Ave,02905
014-0183-0000,14,183,0,2,2 -5 Family,33 East George,02906
016-0597-0000,16,597,0,79,School,36 Charlesfield St,02906
006-0253-0000,6,253,0,1,Single Family,19 Firglade Ave,02906
028-0687-0000,28,687,0,2,2 -5 Family,41 Vinton St,02909
113-0023-0000,113,23,0,80,State,5 Ella,02909
011-0125-0024,11,125,24,23,Residential Condo,24 Diman Pl,02906
017-0505-0000,17,505,0,6,Commercial II,1 Governor St,02906
114-0208-0000,114,208,0,72,Church,629 Hartford Ave,02909
063-0152-0000,63,152,0,2,2 -5 Family,40 Covell St,02909
068-0037-0000,68,37,0,14,CI Vacant Land,111 Wayne St,02901
084-0338-0000,84,338,0,2,2 -5 Family,1165 Chalkstone Ave,02909
031-0387-8LAW,31,387,8LAW,12,Miscellaneous,77 Althea St,02907
037-0044-LL02,37,44,LL02,84,Amtrak NRR,169 Magnolia St,NA
035-0294-0000,35,294,0,7,Industrial,31 Delaine St,02909
043-0014-0000,43,14,0,2,2 -5 Family,20 Madison St,02907
084-0035-0000,84,35,0,13,Residential Vacant Land,65 Grosvenor Ave,02901
042-0036-0000,42,36,0,13,Residential Vacant Land,42 Kenwood St,02907
012-0050-00EX,12,50,00EX,79,School,104 South Water,02903
062-0608-8LAW,62,608,8LAW,12,Miscellaneous,109 Delaine St,02909
016-0570-0069,16,570,69,23,Residential Condo,392 South Main,02903
066-0190-0000,66,190,0,14,CI Vacant Land,37 River Ave,02901
072-0301-0000,72,301,0,14,CI Vacant Land,260 Silver Spring St,02904
060-0183-0000,60,183,0,74,Federal,385 Niagara St,02907
035-0562-0000,35,562,0,72,Church,1860 Westminster St,02903
054-0205-0000,54,205,0,14,CI Vacant Land,1062 Eddy St,02905
027-0047-0000,27,47,0,14,CI Vacant Land,260 Kinsley Ave,02909
072-0556-0000,72,556,0,78,Municipal,51 Flora St,02904
016-0570-0060,16,570,60,23,Residential Condo,396 South Main,02906
052-0164-0000,52,164,0,2,2 -5 Family,157 Hamilton St,02907
005-0021-0000,5,21,0,2,2 -5 Family,18 Evergreen St,02906
014-0395-0000,14,395,0,14,CI Vacant Land,202 Ives St,02906
002-0607-0000,2,607,0,7,Industrial,85 Corliss St,02904
048-0407-0000,48,407,0,2,2 -5 Family,422 Public St,02905
034-0221-0000,34,221,0,2,2 -5 Family,661 Manton Ave,02909
071-0121-0000,71,121,0,2,2 -5 Family,555 Branch Ave,02904
059-0180-0000,59,180,0,1,Single Family,84 Farragut Ave,02905
063-0080-0000,63,80,0,6,Commercial II,944 Atwells Ave,02909
059-0697-0000,59,697,0,2,2 -5 Family,144 Fisk St,02905
068-0256-0000,68,256,0,13,Residential Vacant Land,50 Derry St,02908
056-0354-0000,56,354,0,7,Industrial,27 Fields Point Dr,02905
048-1051-8LAW,48,1051,8LAW,12,Miscellaneous,265 Potters Ave,02905
040-0302-0000,40,302,0,2,2 -5 Family,256 President Ave,02906
058-0251-0000,58,251,0,2,2 -5 Family,30 Broom St,02905
044-0150-0000,44,150,0,14,CI Vacant Land,89 Peace St,02907
033-0169-0000,33,169,0,2,2 -5 Family,106 Tell St,02909
048-0300-0000,48,300,0,2,2 -5 Family,75 Potters Ave,02905
067-0558-0000,67,558,0,7,Industrial,50 Holden St,02908
021-0099-000E,21,99,000E,24,Commercial Condo,150 Chestnut St,02903
057-0351-0000,57,351,0,2,2 -5 Family,164 Pavilion Ave,02905
126-0007-0LLC,126,7,0LLC,24,Commercial Condo,364 Reservoir Ave,02905
